vin,make,model,year,exterior,interior,miles
WAUBF98E78A542758,GMC,Sonoma,1994,Crimson,Mauv,298957
WVWAA7AH3AV591301,Land Rover,LR2,2012,Orange,Indigo,241820
WAUDF98E56A892461,Mercury,Grand Marquis,2005,Goldenrod,Fuscia,75325
KMHHT6KDXDU264009,GMC,Sierra 1500,2003,Maroon,Indigo,117788
WBAUN1C56BV486929,Maserati,430,1991,Blue,Aquamarine,88903
JM3TB2BV1E0267190,Audi,A8,2008,Aquamarine,Turquoise,38722
JH4KB2F66CC660975,Mazda,B2600,1989,Goldenrod,Teal,20915
WAUJC58E33A059578,Suzuki,Grand Vitara,2007,Turquoise,Pink,73066
1G6AC1R3XF0045747,Toyota,Xtra,1992,Blue,Orange,18377
WBAKE3C58CE006281,Infiniti,G,2007,Pink,Blue,166324
WBAFR9C58DD580220,Mitsubishi,Starion,1984,Violet,Pink,269165
3C63DPAL0CG779894,Oldsmobile,Aurora,1999,Blue,Crimson,81534
KMHDB8AE9AU567995,Nissan,Quest,1993,Teal,Maroon,302746
JTDKDTB35F1847055,Audi,A5,2010,Pink,Maroon,312217
2LMDJ6JK4EB178193,Chevrolet,Suburban 2500,2001,Blue,Crimson,201846
WBABS53412J904383,Mercury,Grand Marquis,2000,Khaki,Turquoise,145007
19UUA962X9A261432,GMC,Sonoma,2003,Blue,Orange,75698
1G6DS8E38C0048169,Pontiac,Bonneville,1966,Khaki,Crimson,163079
JH4DC53092C549293,Lexus,IS,2010,Pink,Indigo,5303
WBA1F7C58FV460471,Chevrolet,2500,1992,Teal,Blue,123232
SALVP2BG8EH728089,GMC,Sierra 3500,2010,Aquamarine,Puce,168823
WBAUP7C51DV608306,Honda,Odyssey,1996,Fuscia,Puce,225240
WA1VMAFP8FA371294,Mazda,B-Series Plus,1992,Maroon,Violet,196510
WAUDF48H77K691380,Ford,Escape,2000,Goldenrod,Teal,41649
WDDEJ8GB5AA354347,Pontiac,Safari,1989,Goldenrod,Orange,315270
WAUEFBFL6EA936107,Mazda,B-Series Plus,1993,Khaki,Pink,177624
3VW4A7AT4DM086428,Dodge,Stratus,2004,Yellow,Maroon,25140
1GKS1KE0XER520370,Dodge,Ram Van 1500,2003,Maroon,Mauv,130037
1G4HK5E94AU354594,Mitsubishi,Outlander,2008,Aquamarine,Orange,49344
JN8AS5MT9DW884138,Chevrolet,Monte Carlo,2003,Blue,Puce,258113
4T1BF1FK4EU754066,Hyundai,Accent,2009,Violet,Mauv,82092
1G6DS5ED9B0173803,Toyota,Tacoma,2008,Goldenrod,Purple,68137
3VW517ATXFM891888,Kia,Sorento,2004,Maroon,Khaki,178282
2G4WB52K641055316,Maserati,Spyder,1989,Goldenrod,Green,252503
5FRYD3H24FB135487,Jaguar,XJ Series,1998,Indigo,Indigo,167025
1FTEW1E86AK992687,Lincoln,Navigator L,2007,Turquoise,Violet,148457
WBA3B3C56DF851882,Bentley,Continental Flying Spur,2012,Maroon,Aquamarine,65548
WBADT63432C232827,Jeep,Compass,2011,Indigo,Maroon,3573
2C3CDXBG7FH708081,BMW,M3,2008,Puce,Pink,287995
WP0AA2A91AS023898,Subaru,Outback,2010,Indigo,Indigo,279059
1N6BF0KL2FN997204,Dodge,D350 Club,1993,Red,Purple,130290
5NPDH4AE9BH137293,Chevrolet,Camaro,1996,Puce,Maroon,206890
WBADN53452G824193,Dodge,Dakota Club,2004,Puce,Yellow,238687
WA1LGBFEXED037025,Honda,Civic,1991,Blue,Aquamarine,204736
2HNYD18616H108468,Toyota,Celica,1999,Turquoise,Green,60946
1G4HB5EM2AU733498,Ford,Mustang,1967,Teal,Pink,238461
3D73Y4ELXAG823991,Cadillac,Eldorado,1992,Yellow,Turquoise,1028
WUAAU34278N419597,Jeep,Cherokee,1999,Blue,Puce,142653
1FTEW1C81AK893553,Isuzu,VehiCROSS,2001,Green,Puce,303946
JM1NC2EFXA0962071,Volkswagen,New Beetle,2009,Fuscia,Orange,278498
WAULC68EX2A627855,Mercedes-Benz,C-Class,1999,Blue,Puce,27588
1GYS4GEF8DR878385,Buick,Special,1962,Purple,Indigo,64286
3N1AB7AP7FY715488,GMC,Safari,2003,Red,Orange,84846
1G4HR57YX7U211948,Dodge,Colt,1993,Maroon,Orange,150843
WBALL5C51FP470155,Mazda,MX-5,1992,Goldenrod,Teal,107672
WDDHF2EB7CA215905,BMW,Z4 M,2009,Blue,Purple,197562
1FMCU0C72BK574755,Subaru,Leone,1986,Indigo,Fuscia,112610
2G61T5S34D9568766,Ford,Explorer,1994,Goldenrod,Green,143090
5TFCW5F17BX241413,Acura,Vigor,1993,Crimson,Mauv,160782
JTDKDTB33F1010420,Ford,F250,2008,Purple,Violet,33636
2LMDJ6JC3AB507713,Plymouth,Laser,1990,Red,Purple,215584
1G6AK5S35F0695624,Chevrolet,Caprice,1983,Turquoise,Mauv,57003
4T1BK1EB1EU192317,Ford,Escort,1989,Violet,Red,132786
JTHCL5EF8F5521007,Chevrolet,3500,2000,Fuscia,Blue,103398
WAUAKAFB0BN513085,Pontiac,GTO,1970,Mauv,Green,265719
19UUA56691A759153,Mazda,Protege,2000,Puce,Goldenrod,87578
WVGEG9BP4DD825629,Volvo,V70,1998,Teal,Violet,144081
JHMFA3F24AS981584,Honda,Element,2007,Crimson,Crimson,48416
WDDHF5KBXFB819260,Ford,F450,2011,Blue,Blue,21581
JN8AZ1FY2CW178883,Toyota,Tundra,2003,Crimson,Violet,148506
5FRYD3H4XGB994165,Ford,Taurus,2013,Teal,Puce,152974
1G6AA5RA0E0567121,Pontiac,Grand Am,1990,Yellow,Goldenrod,29701
WAUJC58E55A565416,Oldsmobile,Alero,2001,Khaki,Indigo,134312
WAUCVAFR7BA537369,Mercury,Mountaineer,2001,Violet,Red,55172
1FTSW2B57AE864220,Dodge,Caravan,1985,Green,Pink,157408
WVWED7AJ0CW769965,Mazda,626,2002,Turquoise,Orange,91555
JH4NA12644T065155,Chevrolet,Impala,1996,Mauv,Crimson,277635
WBANB53596C878857,Porsche,Panamera,2011,Green,Orange,169874
1FTEW1CW0AF631045,Maybach,57,2006,Green,Turquoise,145159
1D4RD5GG0BC232128,Ford,E150,2006,Red,Maroon,150031
1GYS4BEF5ER943245,Mercedes-Benz,E-Class,1984,Aquamarine,Aquamarine,29511
ZFBCFABH3FZ596832,Toyota,Celica,2000,Fuscia,Puce,259875
WDDHH8JB3FB817749,Kia,Optima,2007,Indigo,Violet,184044
WVWAN7AN2DE224193,Dodge,Spirit,1995,Blue,Aquamarine,197687
1G6DF8E50D0562279,Honda,Crosstour,2012,Orange,Maroon,254318
19UUA8F22EA675969,Pontiac,Sunbird,1985,Red,Violet,291983
SAJWA1CB2CL876793,Acura,TSX,2012,Goldenrod,Teal,282037
WVWAB7AJ8CW918062,Volkswagen,GTI,1987,Goldenrod,Pink,53319
WAULT68E23A576448,Land Rover,Discovery Series II,2000,Teal,Pink,236200
2B3CK9CV6AH116479,GMC,Suburban 2500,1993,Pink,Green,19930
3VW217AU7FM455687,Infiniti,FX,2009,Turquoise,Purple,214020
WVWGD7AJ1EW164199,Jaguar,X-Type,2004,Green,Maroon,206700
WA1EV94L78D334718,Chrysler,300,2011,Orange,Blue,57766
5N1BA0ND7FN656172,Suzuki,Forenza,2004,Yellow,Fuscia,119643
4A4JM2AS2AE597234,BMW,Z4,2008,Blue,Blue,33831
137FA84321E820128,Hyundai,XG300,2001,Goldenrod,Pink,259121
1N6AF0LY8FN259610,Dodge,Caravan,1992,Purple,Indigo,280971
2CTALMECXB6268297,Chevrolet,Caprice,1994,Blue,Aquamarine,308676
1B3BD1FB8BN150179,Lotus,Esprit,1988,Orange,Puce,110382
1VWAH7A36EC890456,Chevrolet,Cavalier,1994,Goldenrod,Puce,106852
SALAG2D43BA952344,Mercury,Mariner,2011,Violet,Goldenrod,237920
WA1UFBFL2DA611686,Buick,Riviera,1990,Orange,Green,205356
WVWED7AJ9CW761654,Chevrolet,Suburban 2500,1993,Goldenrod,Khaki,26493
5N1AN0NWXEN505262,Hyundai,Azera,2007,Mauv,Pink,279380
JTEBU5JRXE5592939,Chrysler,Grand Voyager,2000,Orange,Orange,30419
3C63DPJLXCG615729,BMW,6 Series,1989,Maroon,Turquoise,190044
WBAUT9C59AA123454,Mercedes-Benz,SLK-Class,2010,Yellow,Goldenrod,129055
WDDGF4HB6DR144461,Ford,Econoline E150,2001,Purple,Aquamarine,178911
YV1672MW7B2733745,Aston Martin,DB9,2006,Teal,Turquoise,249722
1FADP5AU6FL683332,Toyota,Corolla,1993,Red,Aquamarine,49777
WAUD2AFD1DN638419,BMW,7 Series,1996,Turquoise,Indigo,103176
1D7RV1GP3BS152191,Suzuki,Verona,2005,Orange,Teal,102086
WAUPL68E44A030673,Oldsmobile,Silhouette,1993,Orange,Orange,48917
KNAFU6A20C5180117,Suzuki,Grand Vitara,2001,Violet,Green,273164
WAUDT48H14K832318,Chevrolet,Malibu,2006,Mauv,Blue,22228
YV126MED2F1627404,Suzuki,Vitara,2004,Khaki,Crimson,196403
WAUAF48H27K960615,Dodge,Ram Van 3500,2002,Khaki,Fuscia,220889
JTDKDTB37F1436935,Toyota,Tundra,2000,Blue,Indigo,143687
2FMDK3KC6AB356983,Ford,Transit Connect,2011,Fuscia,Pink,128980
5XYKT3A10CG996262,Saab,9-3,2000,Crimson,Maroon,180798
1GD02XEG5FZ458402,Nissan,Altima,1997,Crimson,Purple,251130
WAUMFAFR8EA916385,Dodge,Dakota,1993,Indigo,Khaki,321174
5UXKR2C59F0731485,Chevrolet,Corvette,1970,Goldenrod,Fuscia,69193
JTDBT4K35B1691280,Subaru,Impreza,2000,Violet,Violet,276024
JN1AZ4EH4DM666568,Hummer,H2,2009,Goldenrod,Aquamarine,248617
WAUAH78E57A989341,Nissan,240SX,1992,Fuscia,Yellow,279722
WA1LMAFE5CD257348,Honda,Accord,2009,Green,Blue,261349
WBAWB33508P455086,Chevrolet,Camaro,1973,Indigo,Puce,42450
3GYFNHE36DS442903,Volvo,XC90,2008,Red,Mauv,133973
WAUKGBFB3BN461589,Chevrolet,3500,1998,Red,Purple,258800
WAULD64B32N816283,Porsche,944,1988,Goldenrod,Green,124590
5N1AT2ML9EC275735,Chevrolet,Suburban,2008,Purple,Indigo,315743
5N1AA0NC8BN785941,Ford,Econoline E350,2002,Mauv,Teal,210742
WP0AA2A98FS056629,Ford,Tempo,1993,Indigo,Blue,278510
JH4DC54893S424080,Ford,E150,2008,Orange,Maroon,95555
WDDHF5KB7EA398179,Ford,Club Wagon,1992,Puce,Maroon,262845
YV126MEB0F1738371,GMC,Yukon XL 2500,2000,Goldenrod,Violet,163026
2D4RN3D16AR657411,Volkswagen,Cabriolet,2001,Green,Puce,300144
5XYZT3LB4FG076823,Ford,Fiesta,2011,Crimson,Aquamarine,116080
WVGFF9BP7BD197893,Mercedes-Benz,Sprinter 2500,2012,Teal,Khaki,33963
1GYS3BEF6ER976404,Toyota,Camry,2000,Violet,Fuscia,322856
1G6DA8E51C0435182,Kia,Sportage,2005,Indigo,Green,110422
WBAEU33434P750173,BMW,M3,2008,Puce,Maroon,284434
WAUVC58E45A419218,Holden,VS Commodore,1996,Fuscia,Aquamarine,153921
WBAYE8C51FD127011,Cadillac,CTS-V,2012,Mauv,Blue,287968
2G4G05GV0B9377221,Chevrolet,Express 1500,2004,Yellow,Violet,267691
1G6KA5EY5AU755255,BMW,Z4,2009,Yellow,Blue,56852
SCBDC3ZA0DC697568,Pontiac,G5,2007,Pink,Puce,42586
WBAYM1C52DD583512,Oldsmobile,Toronado,1992,Maroon,Red,64080
JH4CU26699C969573,Subaru,Loyale,1994,Violet,Yellow,251606
1GD21ZCG8BZ212674,Ford,F150,1994,Aquamarine,Yellow,90570
2G4GT5GV5C9716922,Mercedes-Benz,300D,1993,Green,Blue,279739
1G6DG8E38E0491166,Honda,Civic,2001,Goldenrod,Purple,181395
19UUA66288A901974,Chrysler,Sebring,2004,Turquoise,Purple,305018
3C4PDDDG0FT289149,Lincoln,Continental,2001,Maroon,Turquoise,313209
WBAUP7C59DV168495,Maybach,57,2003,Indigo,Khaki,264544
WA1LMAFE3AD486138,GMC,Sonoma Club Coupe,1993,Fuscia,Turquoise,255147
WBAUC73559V085374,Cadillac,DTS,2006,Indigo,Red,318266
WAUDFBFCXCN056285,Audi,S6,2011,Maroon,Yellow,108752
WA1CGAFE4ED551124,Pontiac,Montana,2002,Indigo,Yellow,282834
4USBU53557L525351,Chrysler,Cirrus,1997,Maroon,Yellow,305541
1C3CCBBB2CN294298,Mitsubishi,Mirage,2000,Fuscia,Fuscia,254815
2LMDJ6JC6AB617994,Lincoln,Town Car,1997,Purple,Pink,285738
WAULD64BX4N711730,Hummer,H3,2008,Red,Turquoise,237752
1D7RW3GK6AS018349,Hummer,H1,2000,Violet,Goldenrod,263581
2C3CCADG9DH836705,Dodge,Grand Caravan,2006,Orange,Green,107357
WA1CFBFP2CA477694,Buick,Park Avenue,2004,Purple,Mauv,279506
2T1KE4EE1BC396454,Chevrolet,Camaro,1968,Red,Khaki,118318
WBAVB73578V406336,Chrysler,Town & Country,1998,Turquoise,Goldenrod,196998
5FNYF3H47EB984816,Mercedes-Benz,SLK-Class,2010,Violet,Goldenrod,292239
3N6CM0KN2FK522847,Mercury,Topaz,1991,Green,Teal,77373
3GYFNEE36CS788804,Nissan,Murano,2006,Fuscia,Goldenrod,62928
WVGAV3AX0DW585678,Suzuki,SJ,1993,Aquamarine,Green,156127
3FA6P0SU9FR720546,Toyota,Truck Xtracab SR5,1989,Indigo,Maroon,167978
WAUXU64B22N203993,Volvo,XC90,2004,Yellow,Crimson,183195
YV1672MS7B2708664,Toyota,Xtra,1993,Purple,Blue,57704
JM1BL1K51B1933143,Buick,Skylark,1986,Green,Fuscia,313208
1G4GF5G3XFF416696,Mercedes-Benz,S-Class,2003,Red,Violet,67615
5N1AA0ND9FN169518,Mitsubishi,3000GT,1993,Indigo,Red,140223
WA1KK78R69A145432,Mercedes-Benz,300SE,1992,Aquamarine,Violet,81615
1GYFK43549R235023,Dodge,Intrepid,1995,Green,Fuscia,273492
5NPDH4AE2EH664595,Mitsubishi,Eclipse,1996,Maroon,Mauv,12099
WBAWV13568P283142,Chevrolet,Express 1500,2012,Khaki,Teal,201826
JN1AZ4EH3FM180935,Suzuki,Equator,2012,Khaki,Turquoise,52936
KMHCM3AC4BU478814,Mercedes-Benz,SLK-Class,2003,Violet,Violet,170514
WAUDG78EX6A200261,Cadillac,Escalade,2012,Mauv,Khaki,108946
SAJWA0JH5EM307662,Lexus,LS,2009,Maroon,Indigo,317749
2FMDK3AK0DB317822,GMC,Sierra 1500,2006,Teal,Fuscia,250869
5N1AR2MM9FC004747,Ford,Econoline E350,1999,Aquamarine,Fuscia,249838
WAUVC58E74A699537,Ford,Mustang,1974,Indigo,Aquamarine,277279
1GYS3CKJ0FR236167,Audi,Cabriolet,1996,Turquoise,Indigo,35626
WAUML64B94N613456,BMW,5 Series,2002,Turquoise,Maroon,245939
WBANW53578C945446,Toyota,Xtra,1995,Crimson,Pink,176375
WAUBFAFL0FN364040,Ford,Probe,1990,Puce,Puce,321533
2B3CJ5DT6BH444155,Ford,Econoline E150,1994,Khaki,Khaki,139393
2G4GT5GV0D9889412,Nissan,Pathfinder,1993,Crimson,Khaki,46486
WAUFFAFM3CA380455,Nissan,Stanza,1992,Orange,Purple,249394
WBA3A9C55EF013320,Hyundai,Santa Fe,2005,Yellow,Purple,74296
SALVP2BG9FH765878,Hyundai,Veracruz,2010,Maroon,Pink,322170
WVWAA7AJ9CW340234,Mercedes-Benz,300SE,1992,Blue,Khaki,225396
1FTSX2A54AE605571,Pontiac,Sunfire,1996,Pink,Teal,212881
1G6DS8EV2A0817649,Dodge,Grand Caravan,2003,Purple,Teal,29266
4A31K2DF1AE837723,Chrysler,Crossfire,2007,Maroon,Indigo,12319
1G6DB1ED0B0957974,BMW,3 Series,2004,Goldenrod,Maroon,241968
JTHFE2C23E2555975,Porsche,914,1970,Maroon,Khaki,32295
1FMJK1K50AE492622,Mitsubishi,Truck,1987,Turquoise,Khaki,226518
WAUDN94F78N995734,Pontiac,Firefly,1992,Pink,Goldenrod,299122
3VW1K7AJ8FM565307,Lincoln,Mark VIII,1997,Violet,Mauv,127246
WBS3U9C51FP953905,Dodge,Durango,1999,Aquamarine,Aquamarine,173548
5J8TB4H39FL484451,Chevrolet,Express,2006,Green,Violet,276763
WAUKH98E77A657904,Buick,Century,1986,Goldenrod,Fuscia,293340
1C4RDHAGXCC405629,Hyundai,Elantra,1996,Teal,Goldenrod,121121
SCBGT3ZA2EC848831,Jeep,Commander,2008,Goldenrod,Blue,258336
SALVP1BG4CH377317,Oldsmobile,Bravada,1996,Crimson,Mauv,169548
1FTMF1CW9AK667562,Ford,Ranger,1997,Goldenrod,Fuscia,293972
WAUSF78E36A364462,Suzuki,Grand Vitara,2000,Red,Puce,14610
5NPEB4ACXBH563630,Cadillac,Escalade,2006,Blue,Aquamarine,118257
1GKMCCE34AR968908,BMW,530,2006,Fuscia,Fuscia,120537
WBA3N7C52EF002350,Volkswagen,Eos,2007,Crimson,Red,138864
WAU4GAFB2AN838012,Cadillac,Catera,1998,Blue,Turquoise,219234
2G61M5S30E9138344,Mazda,RX-8,2005,Yellow,Purple,143689
JM3TB2BAXE0234315,Toyota,Tacoma Xtra,1995,Mauv,Indigo,223373
5UXKR2C54F0478172,Mazda,Protege,1999,Orange,Puce,190722
WAUVT68E05A450701,Maybach,57,2004,Crimson,Mauv,310818
WAUHF98P49A124929,Maybach,62,2011,Mauv,Red,286543
WAUEF98E96A042322,Pontiac,G6,2005,Maroon,Purple,107095
1G6DM57T060862763,Subaru,Forester,2011,Turquoise,Crimson,102270
5N1AZ2MHXFN486345,Chevrolet,2500,1993,Puce,Orange,74819
SCFHDDAT0EG847558,Land Rover,Range Rover,1994,Turquoise,Goldenrod,86529
WAUAVAFD9CN237581,Ford,E-Series,1993,Red,Orange,293170
4USBU33528L894688,Volkswagen,Golf,1991,Red,Maroon,175836
1D4PT4GK3AW129260,Toyota,Matrix,2008,Mauv,Green,55696
WA1VFBFL6DA520859,Dodge,Ram Wagon B150,1994,Puce,Violet,314711
3C3CFFJH6FT718882,Chevrolet,Aveo,2010,Blue,Red,36549
3GYFNGE38ES589526,Hyundai,Accent,1995,Goldenrod,Fuscia,226336
WBAYB6C55FG750143,Infiniti,G37,2012,Crimson,Green,170064
JH4KA96643C040976,Mazda,MPV,2000,Turquoise,Green,317203
JN8AS1MU4BM194825,Lexus,ES,2002,Goldenrod,Maroon,315034
4T1BF1FK3DU263115,Austin,Mini Cooper S,1963,Yellow,Blue,317659
1G4HD57248U521265,Saturn,S-Series,1994,Green,Indigo,295281
WBABD33405J001130,Subaru,Tribeca,2008,Green,Khaki,17469
19XFA1E65BE879998,Mercedes-Benz,S-Class,1999,Teal,Mauv,278831
YV4960DL5A2501298,Dodge,Stealth,1993,Puce,Indigo,196888
WDDPK4HA9CF320678,Dodge,Shadow,1994,Purple,Aquamarine,130444
3D7TT2CT9BG405364,Buick,Century,1997,Orange,Orange,124961
WA1LFAFP4EA812855,Ford,Mustang,1998,Fuscia,Violet,46269
KNAFT4A21A5030506,Mercury,Mountaineer,2001,Red,Violet,313016
KL4CJCSB1EB327118,Dodge,Caravan,2009,Teal,Mauv,192913
WBAFR9C51DC556069,Isuzu,Hombre Space,1999,Puce,Red,106464
WAUNG74F19N695935,Suzuki,Sidekick,1997,Mauv,Pink,209690
SCFFDAAM9EG890729,Suzuki,Grand Vitara,2007,Maroon,Orange,15337
WAUBF78E06A312979,Maybach,62,2007,Orange,Orange,181865
JTHBL5EF6C5350412,Nissan,Quest,1994,Red,Maroon,71269
WVGAV7AX9CW837417,Cadillac,Escalade ESV,2009,Orange,Blue,163252
WAUSGAFB4AN689285,Infiniti,QX,1999,Khaki,Khaki,193319
4T1BD1FK7FU910480,Chevrolet,Silverado 1500,1999,Red,Crimson,244193
WBANU5C54AC623231,Ford,Thunderbird,1991,Maroon,Aquamarine,296964
WAUR2AFD5EN793787,Toyota,Tacoma Xtra,2002,Maroon,Mauv,155624
WAULL44E86N082179,Dodge,Ram 2500,1997,Pink,Green,213878
1GYS4CEF7ER863158,Mercedes-Benz,C-Class,2005,Pink,Khaki,141642
WAUBF98E08A484007,Pontiac,Vibe,2006,Yellow,Goldenrod,303379
JN8AZ2ND0F9410047,Pontiac,Grand Prix Turbo,1990,Crimson,Crimson,211505
1FTSW3A56AE929274,Lexus,LS,2011,Pink,Goldenrod,188086
2C3CCAEG4FH603610,Lincoln,Navigator,2001,Fuscia,Yellow,239857
3C3CFFJH9FT798422,Volkswagen,GTI,2001,Puce,Crimson,82306
WAUDFBFC9CN973248,Cadillac,XLR,2009,Khaki,Crimson,143357
2C3CDXEJ8CH938568,Chevrolet,Colorado,2006,Red,Blue,103996
2T1BU4EEXDC474266,GMC,Yukon,1999,Crimson,Mauv,106131
WBAKC6C56AC464109,Chrysler,Crossfire,2004,Indigo,Yellow,270695
5UXWX9C50DL810622,Honda,Element,2005,Maroon,Khaki,277293
KMHFC4DF4BA249563,Suzuki,Esteem,1995,Yellow,Crimson,144036
1G6KS54Y81U084534,Mazda,Miata MX-5,2000,Red,Red,106892
4T1BK1EB2EU700763,Mercedes-Benz,SL-Class,2003,Teal,Goldenrod,16357
SCBLF34F64C476658,Mercedes-Benz,CL-Class,2008,Indigo,Green,305165
1FMEU7FE9AU582771,Toyota,4Runner,2007,Blue,Red,222357
1N6BF0KM3FN162270,Ford,F150,2010,Puce,Green,78650
WBAVB73557F569446,Lexus,LS,1991,Blue,Violet,284562
WAUVT58E23A072288,Ford,E-Series,2001,Puce,Crimson,209234
WAUDF48H67A560592,Volkswagen,Jetta,2006,Red,Yellow,49361
3MZBM1U79EM257475,Mercedes-Benz,SLK-Class,2006,Indigo,Goldenrod,258177
4T1BF3EK0AU723632,Dodge,Daytona,1992,Fuscia,Red,258683
YV4902BZ4C1745599,Dodge,Ram 1500,2008,Blue,Goldenrod,209821
2T1KE4EE9BC499699,Mazda,B-Series Plus,1995,Red,Yellow,324211
WAUCFAFH7DN517591,Aston Martin,V8 Vantage,2008,Violet,Green,88631
WVWDB7AJ1EW312375,Land Rover,Range Rover,1997,Teal,Maroon,44579
WAUDF78E48A626310,Mazda,MPV,1991,Indigo,Blue,260332
WDDHF5GB1AA674701,Isuzu,Trooper,1996,Violet,Violet,37
